"search-number","evaluation","evals-requested-so-far","number-of-nodes*","network-method*","technology-diffusion-method*","word-of-mouth?*","seeding-percentage*","debug?*","deliberation_rate*","innovation*","leader_w_social*","main_w_social*","hed_w_social*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","4","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.4842598594519879","0.4063873473790246","0.32447199772282365","""573356038""","28.923000000000002","28.923000000000002","28.923000000000002","0","28.923000000000002"
"1","2","4","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.4842598594519879","0.4063873473790246","0.32447199772282365","""-875590123""","28.396","28.396","28.396","0","28.396"
"1","3","4","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.4842598594519879","0.4063873473790246","0.32447199772282365","""-1101533034""","28.833999999999996","28.833999999999996","28.833999999999996","0","28.833999999999996"
"1","4","4","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.4842598594519879","0.4063873473790246","0.32447199772282365","""-1693865444""","28.769","28.769","28.769","0","28.769"
"1","5","8","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.4842598594519879","0.408571149096451","0.32447199772282365","""-371192855""","29.117999999999995","29.117999999999995","29.117999999999995","0","29.117999999999995"
"1","6","8","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.4842598594519879","0.408571149096451","0.32447199772282365","""2084402845""","28.292","28.292","28.292","0","28.292"
"1","7","8","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.4842598594519879","0.408571149096451","0.32447199772282365","""-158758074""","28.374000000000002","28.374000000000002","28.374000000000002","0","28.374000000000002"
"1","8","8","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.4842598594519879","0.408571149096451","0.32447199772282365","""-274267770""","27.891999999999996","27.891999999999996","27.891999999999996","0","27.891999999999996"
"1","9","12","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.40473519909258915","0.408571149096451","0.32447199772282365","""398799142""","28.970999999999997","28.970999999999997","28.970999999999997","0","28.970999999999997"
"1","10","12","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.40473519909258915","0.408571149096451","0.32447199772282365","""2133730769""","28.805","28.805","28.805","0","28.805"
"1","11","12","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.40473519909258915","0.408571149096451","0.32447199772282365","""906484493""","28.869999999999997","28.869999999999997","28.869999999999997","0","28.869999999999997"
"1","12","12","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.40473519909258915","0.408571149096451","0.32447199772282365","""312206056""","27.637000000000004","27.637000000000004","27.637000000000004","0","27.637000000000004"
"1","13","16","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.40473519909258915","0.5129131864027276","0.32447199772282365","""-2118014977""","28.317","28.317","28.317","0","28.317"
"1","14","16","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.40473519909258915","0.5129131864027276","0.32447199772282365","""1315156603""","28.141000000000002","28.141000000000002","28.141000000000002","0","28.141000000000002"
"1","15","16","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.40473519909258915","0.5129131864027276","0.32447199772282365","""98502656""","28.369","28.369","28.369","0","28.369"
"1","16","16","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.40473519909258915","0.5129131864027276","0.32447199772282365","""-1014975188""","28.8","28.8","28.8","0","28.8"
"1","17","20","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.40473519909258915","0.48451199566434333","0.32447199772282365","""-808972865""","28.904000000000003","28.904000000000003","28.904000000000003","0","28.904000000000003"
"1","18","20","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.40473519909258915","0.48451199566434333","0.32447199772282365","""366566503""","27.737","27.737","27.737","0","27.737"
