"search-number","evaluation","number-of-nodes*","network-method*","technology-diffusion-method*","word-of-mouth?*","seeding-percentage*","debug?*","deliberation_rate*","innovation*","leader_w_social*","main_w_social*","hed_w_social*","num-replicates","best-fitness-so-far"
"1","5","1000","""suslab""","""schwarz-alternative""","true","1","false","0.02542740286491503","""showerhead""","0.5350093352380495","0.9611888842776223","0.7599130509800671","5","1028.559"
"1","15","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.49758977473232274","0.9611888842776223","0.7599130509800671","5","1027.922"
"1","90","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.8134387194703392","0.7843988908209961","0.7754597728174841","5","1027.555"
"1","155","1000","""suslab""","""schwarz-alternative""","true","1","false","0.038221139075966734","""showerhead""","0.6219528292718096","0.8208970202660044","0.8622342121174307","5","29.192"
"1","285","1000","""suslab""","""schwarz-alternative""","true","1","false","0.038221139075966734","""showerhead""","0.5792699578269153","0.8533946817217075","0.7993683902520324","5","28.467999999999996"
"1","295","1000","""suslab""","""schwarz-alternative""","true","1","false","0.038221139075966734","""showerhead""","0.5792699578269153","0.8336969119518645","0.7993683902520324","5","28.456"
"2","5","1000","""suslab""","""schwarz-alternative""","true","1","false","0.030955599186872802","""showerhead""","0.5594912491678724","0.6373411283067246","0.8985096932913088","5","1028.345"
"2","15","1000","""suslab""","""schwarz-alternative""","true","1","false","0.030955599186872802","""showerhead""","0.5594912491678724","0.6032118236663092","0.8287057684656023","5","1028.307"
"2","25","1000","""suslab""","""schwarz-alternative""","true","1","false","0.030955599186872802","""showerhead""","0.46918161070705466","0.6032118236663092","0.8287057684656023","5","28.988999999999997"
"2","175","1000","""suslab""","""schwarz-alternative""","true","1","false","0.030955599186872802","""showerhead""","0.46918161070705466","0.6032118236663092","0.7318225446055","5","28.886999999999997"
"3","5","1000","""suslab""","""schwarz-alternative""","true","1","false","0.01344327903254926","""showerhead""","0.261911282228117","0.32317048193527687","0.5492428107139194","5","1027.827"
"3","10","1000","""suslab""","""schwarz-alternative""","true","1","false","0.013896887441739567","""showerhead""","0.261911282228117","0.32317048193527687","0.5492428107139194","5","1027.585"
"3","20","1000","""suslab""","""schwarz-alternative""","true","1","false","0.01630748056343346","""showerhead""","0.261911282228117","0.32317048193527687","0.5492428107139194","5","1027.325"
"3","25","1000","""suslab""","""schwarz-alternative""","true","1","false","0.01630748056343346","""showerhead""","0.261911282228117","0.2920364424480981","0.5492428107139194","5","19.049"
"3","70","1000","""suslab""","""schwarz-alternative""","true","1","false","0.01630748056343346","""showerhead""","0.14840952801292495","0.2920364424480981","0.5492428107139194","5","14.519"
"3","80","1000","""suslab""","""schwarz-alternative""","true","1","false","0.01630748056343346","""showerhead""","0.14840952801292495","0.3088083255952752","0.5492428107139194","5","10.327"
"3","120","1000","""suslab""","""schwarz-alternative""","true","1","false","0.01630748056343346","""showerhead""","0.14840952801292495","0.3088083255952752","0.5252818929735913","5","9.966000000000001"
"3","140","1000","""suslab""","""schwarz-alternative""","true","1","false","0.01630748056343346","""showerhead""","0","0.3088083255952752","0.5252818929735913","5","9.826"
"3","185","1000","""suslab""","""schwarz-alternative""","true","1","false","0.01630748056343346","""showerhead""","0","0.3088083255952752","0.444764245332926","5","9.752"
"3","190","1000","""suslab""","""schwarz-alternative""","true","1","false","0.01630748056343346","""showerhead""","0.07562784022292111","0.3088083255952752","0.45080280656932614","5","9.348"
"3","295","1000","""suslab""","""schwarz-alternative""","true","1","false","0.01630748056343346","""showerhead""","0.07562784022292111","0.3088083255952752","0.4209565818245156","5","7.949000000000002"
"4","5","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03055304028343605","""showerhead""","0.4133428867487864","0.9807870464923824","0.779282830243934","5","1028.593"
"4","10","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03055304028343605","""showerhead""","0.4133428867487864","1","0.7537563880833517","5","1028.557"
"4","15","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03055304028343605","""showerhead""","0.4133428867487864","1","0.8468309215183035","5","1027.979"
"4","35","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03544416395303346","""showerhead""","0.4133428867487864","1","0.871173729010644","5","29.192"
"4","155","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03544416395303346","""showerhead""","0.4133428867487864","1","0.9507342423748198","5","29.003"
"5","5","1000","""suslab""","""schwarz-alternative""","true","1","false","0.02648593653171266","""showerhead""","0.6833411966409675","0.9089070522763079","0.41365549070619057","5","1028.693"
"5","10","1000","""suslab""","""schwarz-alternative""","true","1","false","0.02648593653171266","""showerhead""","0.6833411966409675","1","0.41365549070619057","5","1027.768"
"5","65","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03046441575706911","""showerhead""","0.6833411966409675","1","0.22935424306627109","5","28.994"
