"search-number","evaluation","evals-requested-so-far","number-of-nodes*","network-method*","technology-diffusion-method*","word-of-mouth?*","seeding-percentage*","debug?*","deliberation_rate*","innovation*","leader_w_social*","main_w_social*","hed_w_social*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","5","1000","""suslab""","""schwarz-alternative""","true","1","false","0.02542740286491503","""showerhead""","0.5350093352380495","0.9611888842776223","0.7599130509800671","""-1358918444""","1028.559","1028.559","1028.559","0","1028.559"
"1","2","5","1000","""suslab""","""schwarz-alternative""","true","1","false","0.02542740286491503","""showerhead""","0.5350093352380495","0.9611888842776223","0.7599130509800671","""861399227""","1027.668","1027.668","1027.668","0","1027.668"
"1","3","5","1000","""suslab""","""schwarz-alternative""","true","1","false","0.02542740286491503","""showerhead""","0.5350093352380495","0.9611888842776223","0.7599130509800671","""1325885999""","1028.66","1028.66","1028.66","0","1028.66"
"1","4","5","1000","""suslab""","""schwarz-alternative""","true","1","false","0.02542740286491503","""showerhead""","0.5350093352380495","0.9611888842776223","0.7599130509800671","""-637830011""","1027.904","1027.904","1027.904","0","1027.904"
"1","5","5","1000","""suslab""","""schwarz-alternative""","true","1","false","0.02542740286491503","""showerhead""","0.5350093352380495","0.9611888842776223","0.7599130509800671","""459066852""","1028.653","1028.653","1028.653","0","1028.653"
"1","6","10","1000","""suslab""","""schwarz-alternative""","true","1","false","0.02542740286491503","""showerhead""","0.49758977473232274","0.9611888842776223","0.7599130509800671","""-605559798""","1028.982","1028.982","1028.982","0","1028.982"
"1","7","10","1000","""suslab""","""schwarz-alternative""","true","1","false","0.02542740286491503","""showerhead""","0.49758977473232274","0.9611888842776223","0.7599130509800671","""242565492""","1028.872","1028.872","1028.872","0","1028.872"
"1","8","10","1000","""suslab""","""schwarz-alternative""","true","1","false","0.02542740286491503","""showerhead""","0.49758977473232274","0.9611888842776223","0.7599130509800671","""713970464""","1028.666","1028.666","1028.666","0","1028.666"
"1","9","10","1000","""suslab""","""schwarz-alternative""","true","1","false","0.02542740286491503","""showerhead""","0.49758977473232274","0.9611888842776223","0.7599130509800671","""1223351941""","28.631","28.631","28.631","0","28.631"
"1","10","10","1000","""suslab""","""schwarz-alternative""","true","1","false","0.02542740286491503","""showerhead""","0.49758977473232274","0.9611888842776223","0.7599130509800671","""1313829831""","1028.229","1028.229","1028.229","0","1028.229"
"1","11","15","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.49758977473232274","0.9611888842776223","0.7599130509800671","""-663855378""","1027.922","1027.922","1027.922","0","1027.922"
"1","12","15","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.49758977473232274","0.9611888842776223","0.7599130509800671","""68636388""","1027.469","1027.469","1027.469","0","1027.469"
"1","13","15","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.49758977473232274","0.9611888842776223","0.7599130509800671","""-1108088283""","1027.786","1027.786","1027.786","0","1027.786"
"1","14","15","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.49758977473232274","0.9611888842776223","0.7599130509800671","""-811334200""","1029.063","1029.063","1029.063","0","1029.063"
"1","15","15","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.49758977473232274","0.9611888842776223","0.7599130509800671","""-530843764""","1028.493","1028.493","1028.493","0","1028.493"
"1","16","20","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.49758977473232274","0.9611888842776223","0.8840578531050496","""-802978233""","1028.334","1028.334","1028.334","0","1028.334"
"1","17","20","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.49758977473232274","0.9611888842776223","0.8840578531050496","""1346789546""","1029.173","1029.173","1029.173","0","1029.173"
"1","18","20","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.49758977473232274","0.9611888842776223","0.8840578531050496","""1341807051""","1028.891","1028.891","1028.891","0","1028.891"
"1","19","20","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.49758977473232274","0.9611888842776223","0.8840578531050496","""512592340""","1028.123","1028.123","1028.123","0","1028.123"
"1","20","20","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.49758977473232274","0.9611888842776223","0.8840578531050496","""-642639350""","1029.706","1029.706","1029.706","0","1029.706"
"1","21","25","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.49758977473232274","0.9611888842776223","0.7754597728174841","""249950663""","1028.226","1028.226","1028.226","0","1028.226"
"1","22","25","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.49758977473232274","0.9611888842776223","0.7754597728174841","""1468796307""","1028.149","1028.149","1028.149","0","1028.149"
"1","23","25","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.49758977473232274","0.9611888842776223","0.7754597728174841","""-587658499""","1028.191","1028.191","1028.191","0","1028.191"
"1","24","25","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.49758977473232274","0.9611888842776223","0.7754597728174841","""15460321""","1028.525","1028.525","1028.525","0","1028.525"
"1","25","25","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.49758977473232274","0.9611888842776223","0.7754597728174841","""1402483791""","1028.575","1028.575","1028.575","0","1028.575"
"1","26","30","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.49758977473232274","0.9518227110585417","0.7754597728174841","""919636076""","1027.926","1027.926","1027.926","0","1027.926"
"1","27","30","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.49758977473232274","0.9518227110585417","0.7754597728174841","""1482796186""","28.696","28.696","28.696","0","28.696"
"1","28","30","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.49758977473232274","0.9518227110585417","0.7754597728174841","""1643575783""","1029.078","1029.078","1029.078","0","1029.078"
"1","29","30","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.49758977473232274","0.9518227110585417","0.7754597728174841","""1449360372""","1027.107","1027.107","1027.107","0","1027.107"
"1","30","30","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.49758977473232274","0.9518227110585417","0.7754597728174841","""-1907847697""","1029.4279999999999","1029.4279999999999","1029.4279999999999","0","1029.4279999999999"
"1","31","35","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.4686728212873942","0.9518227110585417","0.7754597728174841","""-1443855782""","1028.467","1028.467","1028.467","0","1028.467"
"1","32","35","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.4686728212873942","0.9518227110585417","0.7754597728174841","""-124280411""","1028.263","1028.263","1028.263","0","1028.263"
"1","33","35","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.4686728212873942","0.9518227110585417","0.7754597728174841","""1605934055""","1027.892","1027.892","1027.892","0","1027.892"
"1","34","35","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.4686728212873942","0.9518227110585417","0.7754597728174841","""-438065690""","1027.514","1027.514","1027.514","0","1027.514"
"1","35","35","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.4686728212873942","0.9518227110585417","0.7754597728174841","""778705761""","1028.922","1028.922","1028.922","0","1028.922"
"1","36","40","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.49758977473232274","0.9653647851200823","0.7754597728174841","""1587282627""","1028.681","1028.681","1028.681","0","1028.681"
"1","37","40","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.49758977473232274","0.9653647851200823","0.7754597728174841","""-1989122236""","1028.544","1028.544","1028.544","0","1028.544"
