"search-number","evaluation","evals-requested-so-far","number-of-nodes*","network-method*","technology-diffusion-method*","word-of-mouth?*","seeding-percentage*","debug?*","deliberation_rate*","innovation*","leader_w_social*","main_w_social*","hed_w_social*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","4","1000","""suslab""","""schwarz-alternative""","true","0","false","0.009043792330809807","""showerhead""","0.15411126224642302","0.449865789620174","0.06713593258782535","""1820223996""","28.328000000000003","28.328000000000003","28.328000000000003","0","28.328000000000003"
"1","2","4","1000","""suslab""","""schwarz-alternative""","true","0","false","0.009043792330809807","""showerhead""","0.15411126224642302","0.449865789620174","0.06713593258782535","""919722139""","27.486","27.486","27.486","0","27.486"
"1","3","4","1000","""suslab""","""schwarz-alternative""","true","0","false","0.009043792330809807","""showerhead""","0.15411126224642302","0.449865789620174","0.06713593258782535","""-272963505""","28.060000000000002","28.060000000000002","28.060000000000002","0","28.060000000000002"
"1","4","4","1000","""suslab""","""schwarz-alternative""","true","0","false","0.009043792330809807","""showerhead""","0.15411126224642302","0.449865789620174","0.06713593258782535","""-343807335""","29.229","29.229","29.229","0","29.229"
"1","5","8","1000","""suslab""","""schwarz-alternative""","true","0","false","0.009043792330809807","""showerhead""","0.15411126224642302","0.4042123278157074","0.06713593258782535","""-1670201652""","28.564999999999998","28.564999999999998","28.564999999999998","0","28.564999999999998"
"1","6","8","1000","""suslab""","""schwarz-alternative""","true","0","false","0.009043792330809807","""showerhead""","0.15411126224642302","0.4042123278157074","0.06713593258782535","""-143603037""","28.863","28.863","28.863","0","28.863"
"1","7","8","1000","""suslab""","""schwarz-alternative""","true","0","false","0.009043792330809807","""showerhead""","0.15411126224642302","0.4042123278157074","0.06713593258782535","""-313980545""","28.78","28.78","28.78","0","28.78"
"1","8","8","1000","""suslab""","""schwarz-alternative""","true","0","false","0.009043792330809807","""showerhead""","0.15411126224642302","0.4042123278157074","0.06713593258782535","""858206267""","29.115000000000002","29.115000000000002","29.115000000000002","0","29.115000000000002"
"1","9","12","1000","""suslab""","""schwarz-alternative""","true","0","false","0.010268396203707177","""showerhead""","0.16717484487598444","0.4042123278157074","0.06713593258782535","""2099472153""","28.605","28.605","28.605","0","28.605"
"1","10","12","1000","""suslab""","""schwarz-alternative""","true","0","false","0.010268396203707177","""showerhead""","0.16717484487598444","0.4042123278157074","0.06713593258782535","""1707151819""","29.073","29.073","29.073","0","29.073"
"1","11","12","1000","""suslab""","""schwarz-alternative""","true","0","false","0.010268396203707177","""showerhead""","0.16717484487598444","0.4042123278157074","0.06713593258782535","""-770498228""","29.476000000000003","29.476000000000003","29.476000000000003","0","29.476000000000003"
"1","12","12","1000","""suslab""","""schwarz-alternative""","true","0","false","0.010268396203707177","""showerhead""","0.16717484487598444","0.4042123278157074","0.06713593258782535","""-2091300894""","28.689999999999998","28.689999999999998","28.689999999999998","0","28.689999999999998"
"1","13","16","1000","""suslab""","""schwarz-alternative""","true","0","false","0.010268396203707177","""showerhead""","0.10289380903606977","0.4042123278157074","0.06713593258782535","""-1713636571""","27.864000000000004","27.864000000000004","27.864000000000004","0","27.864000000000004"
