"search-number","evaluation","number-of-nodes*","network-method*","technology-diffusion-method*","word-of-mouth?*","seeding-percentage*","debug?*","deliberation_rate*","innovation*","leader_w_social*","main_w_social*","hed_w_social*","fitness","num-replicates","best-fitness-so-far"
"1","4","1000","""suslab""","""schwarz-alternative""","true","0","false","0.009043792330809807","""showerhead""","0.15411126224642302","0.449865789620174","0.06713593258782535","28.194000000000003","4","28.194000000000003"
"1","8","1000","""suslab""","""schwarz-alternative""","true","0","false","0.009043792330809807","""showerhead""","0.15411126224642302","0.4042123278157074","0.06713593258782535","28.8215","4","28.194000000000003"
"1","12","1000","""suslab""","""schwarz-alternative""","true","0","false","0.010268396203707177","""showerhead""","0.16717484487598444","0.4042123278157074","0.06713593258782535","28.8815","4","28.194000000000003"
"1","16","1000","""suslab""","""schwarz-alternative""","true","0","false","0.010268396203707177","""showerhead""","0.10289380903606977","0.4042123278157074","0.06713593258782535","28.889499999999998","4","28.194000000000003"
"1","20","1000","""suslab""","""schwarz-alternative""","true","0","false","0.010268396203707177","""showerhead""","0.13046777948551203","0.4042123278157074","0","28.5525","4","28.194000000000003"
"1","24","1000","""suslab""","""schwarz-alternative""","true","0","false","0.007585636088177881","""showerhead""","0.10642589722343411","0.4042123278157074","0","28.613999999999997","4","28.194000000000003"
"1","28","1000","""suslab""","""schwarz-alternative""","true","0","false","0.007585636088177881","""showerhead""","0.10642589722343411","0.49090423199435906","0","28.606","4","28.194000000000003"
"1","32","1000","""suslab""","""schwarz-alternative""","true","0","false","0.005593702341474388","""showerhead""","0.10642589722343411","0.49090423199435906","0","28.884","4","28.194000000000003"
"1","36","1000","""suslab""","""schwarz-alternative""","true","0","false","0.005593702341474388","""showerhead""","0.10642589722343411","0.49090423199435906","0.14162698281775898","28.387500000000003","4","28.194000000000003"
"1","40","1000","""suslab""","""schwarz-alternative""","true","0","false","0.005593702341474388","""showerhead""","0.10642589722343411","0.49090263044632176","0.14162698281775898","28.5165","4","28.194000000000003"
"1","44","1000","""suslab""","""schwarz-alternative""","true","0","false","0.005593702341474388","""showerhead""","0.10642589722343411","0.48555079030393494","0.14162698281775898","28.65","4","28.194000000000003"
"1","48","1000","""suslab""","""schwarz-alternative""","true","0","false","0.005593702341474388","""showerhead""","0.051655104979702084","0.48555079030393494","0.14162698281775898","28.4825","4","28.194000000000003"
"1","52","1000","""suslab""","""schwarz-alternative""","true","0","false","0.01084159767109025","""showerhead""","0.051655104979702084","0.43963414944801155","0.14162698281775898","28.421","4","28.194000000000003"
"1","56","1000","""suslab""","""schwarz-alternative""","true","0","false","0.01084159767109025","""showerhead""","0.051655104979702084","0.42735722620311195","0.14162698281775898","28.039499999999997","4","28.039499999999997"
"1","60","1000","""suslab""","""schwarz-alternative""","true","0","false","0.01084159767109025","""showerhead""","0.051655104979702084","0.47454348424367215","0.14162698281775898","28.905500000000004","4","28.039499999999997"
"1","64","1000","""suslab""","""schwarz-alternative""","true","0","false","0.0046126510586041985","""showerhead""","0.051655104979702084","0.47454348424367215","0.14753143397214757","28.196","4","28.039499999999997"
"1","68","1000","""suslab""","""schwarz-alternative""","true","0","false","0.0046126510586041985","""showerhead""","0","0.47454348424367215","0.14753143397214757","27.612499999999997","4","27.612499999999997"
"1","72","1000","""suslab""","""schwarz-alternative""","true","0","false","0.0046126510586041985","""showerhead""","0","0.29340376489813075","0.14753143397214757","28.538000000000004","4","27.612499999999997"
"1","76","1000","""suslab""","""schwarz-alternative""","true","0","false","0.0046126510586041985","""showerhead""","0","0.3519580924953582","0.14753143397214757","28.711000000000002","4","27.612499999999997"
"1","80","1000","""suslab""","""schwarz-alternative""","true","0","false","0.011712400239270723","""showerhead""","0","0.3519580924953582","0.14753143397214757","28.232","4","27.612499999999997"
"1","84","1000","""suslab""","""schwarz-alternative""","true","0","false","0.011712400239270723","""showerhead""","0","0.3519580924953582","0.11269592869860916","28.7025","4","27.612499999999997"
"1","88","1000","""suslab""","""schwarz-alternative""","true","0","false","0.011712400239270723","""showerhead""","0","0.3519580924953582","0.20503342908617456","28.775000000000002","4","27.612499999999997"
"1","92","1000","""suslab""","""schwarz-alternative""","true","0","false","0.009974669500890595","""showerhead""","0","0.3519580924953582","0.20503342908617456","28.328","4","27.612499999999997"
"1","96","1000","""suslab""","""schwarz-alternative""","true","0","false","0.009974669500890595","""showerhead""","0","0.3519580924953582","0.28639322808781276","28.848","4","27.612499999999997"
"1","100","1000","""suslab""","""schwarz-alternative""","true","0","false","0.015611155324554357","""showerhead""","0","0.3519580924953582","0.20503342908617456","28.4155","4","27.612499999999997"
"1","104","1000","""suslab""","""schwarz-alternative""","true","0","false","0.01728049986737338","""showerhead""","0","0.3519580924953582","0.20503342908617456","28.2265","4","27.612499999999997"
"1","108","1000","""suslab""","""schwarz-alternative""","true","0","false","0.01728049986737338","""showerhead""","0","0.3978201613296314","0.1340172352379903","28.237499999999997","4","27.612499999999997"
"1","112","1000","""suslab""","""schwarz-alternative""","true","0","false","0.01728049986737338","""showerhead""","0","0.3978201613296314","0.1819459886176005","28.528999999999996","4","27.612499999999997"
