"search-number","evaluation","evals-requested-so-far","number-of-nodes*","network-method*","technology-diffusion-method*","word-of-mouth?*","seeding-percentage*","debug?*","innovation*","p_leader_social*","p_mainstream_social*","p_hedonistic_social*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","1","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.8367744251128066","0.7686746328183893","0.5218224090779017","""-867668076""","22.357","22.357","22.357","0","22.357"
"1","2","2","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.8287454036655516","0.7686746328183893","0.5218224090779017","""510909886""","20.655000000000005","20.655000000000005","20.655000000000005","0","20.655000000000005"
"1","3","3","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.8287454036655516","0.764648511835795","0.5218224090779017","""362554692""","24.026000000000003","24.026000000000003","24.026000000000003","0","24.026000000000003"
"1","4","4","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","1","0.7686746328183893","0.5218224090779017","""-1310228501""","26.607000000000003","26.607000000000003","26.607000000000003","0","26.607000000000003"
"1","5","5","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.8957572916459721","0.7686746328183893","0.5218224090779017","""-709221858""","24.015","24.015","24.015","0","24.015"
"1","6","6","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.8287454036655516","0.7567752015036409","0.5218224090779017","""848217257""","23.738999999999997","23.738999999999997","23.738999999999997","0","23.738999999999997"
"1","7","7","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.9173345273011687","0.7686746328183893","0.5218224090779017","""-211270981""","26.122","26.122","26.122","0","26.122"
"1","8","8","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.8287454036655516","0.6978809207867409","0.5218224090779017","""-1915083410""","18.096","18.096","18.096","0","18.096"
"1","9","9","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.8287454036655516","0.6978809207867409","0.6319956658851065","""1698478384""","20.388000000000005","20.388000000000005","20.388000000000005","0","20.388000000000005"
"1","10","10","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.8287454036655516","0.6978809207867409","0.5833715950663216","""1350644798""","20.711","20.711","20.711","0","20.711"
"1","11","11","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.8287454036655516","0.5452367858416276","0.5218224090779017","""-472340573""","19.090999999999998","19.090999999999998","19.090999999999998","0","19.090999999999998"
"1","12","12","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.7383238944769779","0.5181128991083152","0.5218224090779017","""1483283287""","20.519","20.519","20.519","0","20.519"
"1","13","13","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.8287454036655516","0.5452367858416276","0.5085112512025438","""795942291""","18.778000000000002","18.778000000000002","18.778000000000002","0","18.778000000000002"
"1","14","14","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.8138649567950657","0.5452367858416276","0.5085112512025438","""1538912221""","17.070999999999998","17.070999999999998","17.070999999999998","0","17.070999999999998"
"1","15","15","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.6048885538588149","0.5452367858416276","0.5085112512025438","""-1976717976""","13.977999999999998","13.977999999999998","13.977999999999998","0","13.977999999999998"
"1","16","16","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.6048885538588149","0.5528587717874084","0.5085112512025438","""2056228709""","16.42","16.42","16.42","0","16.42"
"1","17","17","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.6048885538588149","0.5452367858416276","0.3272300135749283","""1005196335""","17.872999999999998","17.872999999999998","17.872999999999998","0","17.872999999999998"
"1","18","18","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.6048885538588149","0.5452367858416276","0.49320665697072974","""2039477460""","18.698","18.698","18.698","0","18.698"
