"search-number","evaluation","evals-requested-so-far","number-of-nodes*","network-method*","technology-diffusion-method*","word-of-mouth?*","seeding-percentage*","debug?*","deliberation_rate*","innovation*","p_leader_social*","p_mainstream_social*","p_hedonistic_social*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","5","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7043579324977686","0.7178055463149521","0.8079863179625693","""95590033""","1029.364","1029.364","1029.364","0","1029.364"
"1","2","5","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7043579324977686","0.7178055463149521","0.8079863179625693","""-1602411758""","1028.632","1028.632","1028.632","0","1028.632"
"1","3","5","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7043579324977686","0.7178055463149521","0.8079863179625693","""-1749882851""","1028.322","1028.322","1028.322","0","1028.322"
"1","4","5","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7043579324977686","0.7178055463149521","0.8079863179625693","""-1663367940""","1026.864","1026.864","1026.864","0","1026.864"
"1","5","5","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7043579324977686","0.7178055463149521","0.8079863179625693","""2144585992""","1028.103","1028.103","1028.103","0","1028.103"
"1","6","10","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7043579324977686","0.7178055463149521","0.7031604711916946","""256168097""","28.459999999999997","28.459999999999997","28.459999999999997","0","28.459999999999997"
"1","7","10","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7043579324977686","0.7178055463149521","0.7031604711916946","""-1344719746""","1028.245","1028.245","1028.245","0","1028.245"
"1","8","10","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7043579324977686","0.7178055463149521","0.7031604711916946","""1616645836""","1027.952","1027.952","1027.952","0","1027.952"
"1","9","10","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7043579324977686","0.7178055463149521","0.7031604711916946","""1028280924""","1027.358","1027.358","1027.358","0","1027.358"
"1","10","10","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7043579324977686","0.7178055463149521","0.7031604711916946","""768443191""","1028.693","1028.693","1028.693","0","1028.693"
"1","11","15","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7043579324977686","0.6827894716215573","0.7031604711916946","""878452960""","1028.09","1028.09","1028.09","0","1028.09"
"1","12","15","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7043579324977686","0.6827894716215573","0.7031604711916946","""-2119388457""","1028.05","1028.05","1028.05","0","1028.05"
"1","13","15","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7043579324977686","0.6827894716215573","0.7031604711916946","""-579666437""","1028.029","1028.029","1028.029","0","1028.029"
"1","14","15","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7043579324977686","0.6827894716215573","0.7031604711916946","""1856902132""","1028.203","1028.203","1028.203","0","1028.203"
"1","15","15","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7043579324977686","0.6827894716215573","0.7031604711916946","""929174672""","1028.171","1028.171","1028.171","0","1028.171"
"1","16","20","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7043579324977686","0.5563239315579005","0.7031604711916946","""-1357988220""","1029.533","1029.533","1029.533","0","1029.533"
"1","17","20","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7043579324977686","0.5563239315579005","0.7031604711916946","""-1279858710""","1027.035","1027.035","1027.035","0","1027.035"
"1","18","20","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7043579324977686","0.5563239315579005","0.7031604711916946","""562013699""","1026.881","1026.881","1026.881","0","1026.881"
"1","19","20","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7043579324977686","0.5563239315579005","0.7031604711916946","""1479390588""","1027.938","1027.938","1027.938","0","1027.938"
"1","20","20","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7043579324977686","0.5563239315579005","0.7031604711916946","""549931202""","1028.654","1028.654","1028.654","0","1028.654"
"1","21","25","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7043579324977686","0.5563239315579005","0.7513888821320212","""715962601""","1027.071","1027.071","1027.071","0","1027.071"
"1","22","25","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7043579324977686","0.5563239315579005","0.7513888821320212","""1787338730""","1027.707","1027.707","1027.707","0","1027.707"
"1","23","25","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7043579324977686","0.5563239315579005","0.7513888821320212","""-89726735""","1028.253","1028.253","1028.253","0","1028.253"
"1","24","25","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7043579324977686","0.5563239315579005","0.7513888821320212","""-598117497""","1028.306","1028.306","1028.306","0","1028.306"
"1","25","25","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7043579324977686","0.5563239315579005","0.7513888821320212","""-1070985340""","1028.345","1028.345","1028.345","0","1028.345"
"1","26","30","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7252987911904897","0.5563239315579005","0.7031604711916946","""-846315459""","1027.938","1027.938","1027.938","0","1027.938"
"1","27","30","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7252987911904897","0.5563239315579005","0.7031604711916946","""-1101035172""","1028.653","1028.653","1028.653","0","1028.653"
"1","28","30","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7252987911904897","0.5563239315579005","0.7031604711916946","""-97634782""","1028.294","1028.294","1028.294","0","1028.294"
"1","29","30","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7252987911904897","0.5563239315579005","0.7031604711916946","""-254880014""","1027.754","1027.754","1027.754","0","1027.754"
"1","30","30","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7252987911904897","0.5563239315579005","0.7031604711916946","""-1435212729""","1028.88","1028.88","1028.88","0","1028.88"
"1","31","35","1000","""suslab""","""schwarz""","true","1","false","0.004","""showerhead""","0.7043579324977686","0.5563239315579005","0.6776030388020344","""1910728867""","1028.331","1028.331","1028.331","0","1028.331"
