"search-number","evaluation","number-of-nodes*","network-method*","technology-diffusion-method*","word-of-mouth?*","seeding-percentage*","debug?*","deliberation_rate*","innovation*","p_leader_social*","p_mainstream_social*","p_hedonistic_social*","num-replicates","best-fitness-so-far"
"1","4","1000","""suslab""","""schwarz""","true","1","false","0.010811942803945134","""showerhead""","0","0.41433904113210995","1","4","20.428"
"1","16","1000","""suslab""","""schwarz""","true","1","false","0.010396301336877745","""showerhead""","0","0.41433904113210995","1","4","13.889499999999998"
"1","20","1000","""suslab""","""schwarz""","true","1","false","0.011809826791091337","""showerhead""","0","0.41433904113210995","1","4","10.747999999999998"
"1","56","1000","""suslab""","""schwarz""","true","1","false","0.011809826791091337","""showerhead""","0","0.40594282591615816","1","4","10.663499999999999"
"1","108","1000","""suslab""","""schwarz""","true","1","false","0.012465463045214797","""showerhead""","0","0.29882282640134095","1","4","9.001"
"1","148","1000","""suslab""","""schwarz""","true","1","false","0.012465463045214797","""showerhead""","0","0.2462595283241532","1","4","8.532499999999999"
"2","4","1000","""suslab""","""schwarz""","true","1","false","0.024199224949551207","""showerhead""","0","0.5070962723616188","1","4","33.9065"
"2","8","1000","""suslab""","""schwarz""","true","1","false","0.022186604628742074","""showerhead""","0","0.5070962723616188","1","4","25.235"
"2","12","1000","""suslab""","""schwarz""","true","1","false","0.019729907247082432","""showerhead""","0","0.5070962723616188","1","4","12.919999999999998"
"2","16","1000","""suslab""","""schwarz""","true","1","false","0.019729907247082432","""showerhead""","0","0.5450659047297537","1","4","12.825500000000002"
"2","92","1000","""suslab""","""schwarz""","true","1","false","0.01709811520959955","""showerhead""","0","0.6110457051480203","1","4","8.4735"
"2","96","1000","""suslab""","""schwarz""","true","1","false","0.01709811520959955","""showerhead""","0","0.6695607559179476","1","4","8.325500000000002"
"2","104","1000","""suslab""","""schwarz""","true","1","false","0.01709811520959955","""showerhead""","0","0.6736920559365175","1","4","7.181000000000001"
"2","224","1000","""suslab""","""schwarz""","true","1","false","0.016169193720865522","""showerhead""","0","0.570934195217041","1","4","6.1035"
