"search-number","evaluation","number-of-nodes*","network-method*","technology-diffusion-method*","word-of-mouth?*","seeding-percentage*","debug?*","deliberation_rate*","innovation*","p_leader_social*","p_mainstream_social*","p_hedonistic_social*","num-replicates","best-fitness-so-far"
"1","300","1000","""suslab""","""schwarz""","true","1","false","0.012465463045214797","""showerhead""","0","0.2462595283241532","1","4","8.532499999999999"
"2","300","1000","""suslab""","""schwarz""","true","1","false","0.016169193720865522","""showerhead""","0","0.570934195217041","1","4","6.1035"
"3","300","1000","""suslab""","""schwarz""","true","1","false","0.0189038694912245","""showerhead""","0","0.765019735923763","1","4","6.209999999999999"
"4","300","1000","""suslab""","""schwarz""","true","1","false","0.023505779459918177","""showerhead""","0","0.7935150248228086","1","4","6.413499999999999"
"5","300","1000","""suslab""","""schwarz""","true","1","false","0.016844090012272064","""showerhead""","0","0.5521697092458813","1","4","4.7345"
"6","300","1000","""suslab""","""schwarz""","true","1","false","0.027381406746744053","""showerhead""","0","0.7790716192715834","1","4","6.719000000000001"
"7","300","1000","""suslab""","""schwarz""","true","1","false","0.03435491016514902","""showerhead""","0","0.8776563682270458","1","4","10.3555"
"8","300","1000","""suslab""","""schwarz""","true","1","false","0.026741456868916956","""showerhead""","0","0.7876208285220453","1","4","7.145499999999999"
"9","300","1000","""suslab""","""schwarz""","true","1","false","0.012270941117651795","""showerhead""","0","0.2572151804638783","1","4","8.099"
"10","300","1000","""suslab""","""schwarz""","true","1","false","0.030249995106126595","""showerhead""","0","0.07891837262410756","1","4","40.186"
"11","300","1000","""suslab""","""schwarz""","true","1","false","0.015108955364682085","""showerhead""","0","0.36320342259091987","1","4","6.182500000000001"
"12","300","1000","""suslab""","""schwarz""","true","1","false","0.01068567103391888","""showerhead""","0","0.15230680308095174","1","4","9.526500000000002"
"13","300","1000","""suslab""","""schwarz""","true","1","false","0.01842840768813599","""showerhead""","0","0.7079472331881169","1","4","5.818"
"14","300","1000","""suslab""","""schwarz""","true","1","false","0.012015785633771434","""showerhead""","0","0.19857169374296296","1","4","9.3655"
"15","300","1000","""suslab""","""schwarz""","true","1","false","0.03107028510507918","""showerhead""","0","0.47168259764683157","1","4","26.5"
