"search-number","evaluation","technology-diffusion-method*","word-of-mouth?*","technology-adoption*","technology-awareness*","debug?*","deliberation_rate*","innovation*","leader_w_social*","main_w_social*","hed_w_social*","num-replicates","best-fitness-so-far"
"1","300","""schwarz-alternative""","true","0","5","false","0.039405698665127456","""showerhead""","0.7862145922133333","0.7278296973560079","0.7056228834673477","5","29.58"
"2","300","""schwarz-alternative""","true","0","5","false","0.00733029538440161","""showerhead""","0.14086423943012094","0","0.3228205523173726","5","11.264"
"3","300","""schwarz-alternative""","true","0","5","false","0.014851546427010929","""showerhead""","0.35065934013210565","0.2691666122757661","0.9458278873411972","5","29.58"
"4","300","""schwarz-alternative""","false","0","5","false","0.03936477000784187","""showerhead""","0.8329439714878136","0.42703791242683053","0.402857413343803","5","29.58"
"5","300","""schwarz-alternative""","true","0","5","false","0.005503310004610085","""showerhead""","0.5264925650472768","0.8624029171762962","0.9995233797708422","5","29.58"
"6","300","""schwarz-alternative""","true","0","5","false","0.025182318286395704","""showerhead""","0.3315405006562063","0.3243051068421483","0.009314252301536227","5","21.012"
"7","300","""schwarz-alternative""","false","0","5","false","0.03963048684145619","""showerhead""","0.8398375099650854","0.9814157219761402","0.3326826348475299","5","29.58"
"8","300","""schwarz-alternative""","true","0","5","false","0.011841254042995747","""showerhead""","0.3401727656315001","0","0.5099610614074381","5","16.712000000000003"
"9","300","""schwarz-alternative""","true","0","5","false","0.01834627864178384","""showerhead""","0.08748007009378689","0.9863328382901136","0.26861975727991944","5","10.208000000000002"
"10","300","""schwarz-alternative""","true","0","5","false","0.038391177272710034","""showerhead""","0.832450354588197","0.9331967070988992","0.9509106145585656","5","29.58"
"11","300","""schwarz-alternative""","false","0","5","false","0.007286468175914777","""showerhead""","0.8107046213281116","0.9666654529896499","0.6333432207027329","5","29.58"
"12","300","""schwarz-alternative""","true","0","5","false","0.011373503501148855","""showerhead""","0.12318980011528505","0.26990432382666146","1","5","8.911999999999999"
"13","300","""schwarz-alternative""","true","0","5","false","0.019816850945449962","""showerhead""","0.8759335263598078","0.7456499931037928","0.24650182396404352","5","29.58"
"14","300","""schwarz-alternative""","true","0","5","false","0.012084972885884494","""showerhead""","0.7548939945128756","0.10266339411173023","0.4701961380653256","5","17.364"
"15","300","""schwarz-alternative""","true","0","5","false","0.027779623949751264","""showerhead""","0.6503996353366255","0.48740860977180867","0.561205061934941","5","29.58"
"16","300","""schwarz-alternative""","false","0","5","false","0.028226186028419073","""showerhead""","0.831198253141368","0.9003730878256662","0.5747396580558629","5","29.58"
"17","300","""schwarz-alternative""","true","0","5","false","0.012521098900544503","""showerhead""","0.5728547099534245","0.5140207939500381","0.7057706774207476","5","29.58"
"18","300","""schwarz-alternative""","true","0","5","false","0.01886686115124218","""showerhead""","0.09600063192688219","0.5496156540329687","0.19241770557032473","5","7.507999999999998"
"19","300","""schwarz-alternative""","true","0","5","false","0.017263726945479344","""showerhead""","0.05907095217514957","0.497430254489642","0.08985949054976083","5","7.872000000000001"
"20","300","""schwarz-alternative""","false","0","5","false","0.039264603750039026","""showerhead""","0.21177926200741778","0.5694661559822891","0.7857208288013735","5","29.58"
"21","300","""schwarz-alternative""","true","0","5","false","0.039896392295611205","""showerhead""","0.7386713268594781","0.7861048835001071","0.23923007698877663","5","29.58"
"22","300","""schwarz-alternative""","true","0","5","false","0.011199833892445112","""showerhead""","0.33289502318595243","0","1","5","15.812"
"23","300","""schwarz-alternative""","false","0","5","false","0.014240064988551291","""showerhead""","0.8891867124070767","0.7561551163898491","0.2848102346777651","5","29.58"
"24","300","""schwarz-alternative""","true","0","5","false","0.010380174765090898","""showerhead""","0.21788212372571178","0","0.2499911959239757","5","13.911999999999999"
"25","300","""schwarz-alternative""","true","0","5","false","0.035505366715335995","""showerhead""","0.31355164937729507","0.802703636460601","0.6232774287169929","5","29.58"
"26","300","""schwarz-alternative""","true","0","5","false","0.007997792492482482","""showerhead""","0","0.20773297643891642","0.7112302230979478","5","10.712"
"27","300","""schwarz-alternative""","true","0","5","false","0.028197346152460032","""showerhead""","0.5285873809249714","0.81273288860741","0.12323147624241904","5","29.58"
"28","300","""schwarz-alternative""","true","0","5","false","0.03166811218477589","""showerhead""","0.5433575585601059","0.5199428074990865","0.556534407856877","5","29.58"
"29","300","""schwarz-alternative""","true","0","5","false","0.013375113808537769","""showerhead""","0.6515240324281747","0.810604309990247","0.9339137172744774","5","29.58"
"30","300","""schwarz-alternative""","true","0","5","false","0.033474428420742955","""showerhead""","0.25047808682744505","0.30066655352241667","0.27334477405441104","5","29.58"
"31","300","""schwarz-alternative""","true","0","5","false","0.034682222477888255","""showerhead""","0.2006704956906149","0.592474971296197","0.9461952480149136","5","29.58"
"32","300","""schwarz-alternative""","true","0","5","false","0.029023994998158827","""showerhead""","0.5921863157650807","0.772896384710511","0.2332717996515774","5","29.58"
"33","300","""schwarz-alternative""","true","0","5","false","0.007281730240239374","""showerhead""","0.45850893527192316","0.7898723496466424","0.8126482823793233","5","29.58"
"34","300","""schwarz-alternative""","false","0","5","false","0.017439748480666355","""showerhead""","0.888606825743395","0.8837441603314322","0.5163156841067175","5","29.58"
"35","300","""schwarz-alternative""","true","0","5","false","0.009182478872807983","""showerhead""","0.19070626282901587","0.21540062570485388","0.2622471435832119","5","11.464"
"36","300","""schwarz-alternative""","true","0","5","false","0.02473579103000682","""showerhead""","0.7934254618137343","0.2499246861587301","0.3865386606659984","5","29.58"
"37","300","""schwarz-alternative""","true","0","5","false","0.011656089894164928","""showerhead""","0.7393001339323572","0","0.9708863035536399","5","17.864"
"38","300","""schwarz-alternative""","true","0","5","false","0.015053201020025962","""showerhead""","0.24933195651783852","0","0.41031752252727177","5","19.912"
"39","300","""schwarz-alternative""","true","0","5","false","0.03390575514978546","""showerhead""","0.90266638223472","0.4855453209411843","0.7570040181136782","5","29.58"
"40","300","""schwarz-alternative""","true","0","5","false","0.016370284419792658","""showerhead""","0.34548452177033473","0.7092407827858196","0.539013644262296","5","29.58"
"41","300","""schwarz-alternative""","false","0","5","false","0.028171838516057","""showerhead""","0.35978676305464374","0.4855979980203212","0.7942571657172499","5","29.58"
"42","300","""schwarz-alternative""","true","0","5","false","0.013997251621623127","""showerhead""","0.040255452591988","0.3743230261121294","0.3020556619950995","5","7.940000000000001"
"43","300","""schwarz-alternative""","false","0","5","false","0.02621317808912815","""showerhead""","0.8971759904935009","0.3999083712370153","0.16559918053365097","5","29.58"
"44","300","""schwarz-alternative""","false","0","5","false","0.026611096263894407","""showerhead""","0.4397872710859507","0.9956593920792557","0.7510047607336866","5","29.58"
"45","300","""schwarz-alternative""","true","0","5","false","0.012451471967221751","""showerhead""","0.5013195047318602","0.6585565259360148","0.308152459003877","5","29.58"
"46","300","""schwarz-alternative""","true","0","5","false","0.035608192271001995","""showerhead""","0.3671144134672464","0.4709328720254713","0.011345179396788807","5","28.279999999999998"
"47","300","""schwarz-alternative""","true","0","5","false","0.008885275602892359","""showerhead""","0.5008668688248816","0.21394216163857435","0.11789854785879755","5","18.08"
"48","300","""schwarz-alternative""","true","0","5","false","0.020248987691712125","""showerhead""","0.19487780871324945","0.41783053072590126","0.8253835950757326","5","29.58"
"49","300","""schwarz-alternative""","true","0","5","false","0.03407680372795768","""showerhead""","0.6731432914046603","0.4436699417310075","0.01621732501093559","5","26.68"
