"search-number","evaluation","technology-diffusion-method*","word-of-mouth?*","technology-adoption*","technology-awareness*","debug?*","deliberation_rate*","innovation*","leader_w_social*","main_w_social*","hed_w_social*","policy*","num-replicates","best-fitness-so-far"
"1","5","""schwarz_alternative""","false","0","5","false","0.016279278990329576","""showerhead""","0.4702315029013524","0.3411507804911118","0.2837019759676266","""off""","5","29.58"
"1","250","""schwarz_alternative""","false","0","5","false","0.014016535283828832","""showerhead""","0.2884290438689705","0.4113599042010628","0","""off""","5","28.711999999999996"
"1","265","""schwarz_alternative""","false","0","5","false","0.014016535283828832","""showerhead""","0.2884290438689705","0.42781772132648516","0","""off""","5","27.14"
"1","300","""schwarz_alternative""","false","0","5","false","0.013474662354727418","""showerhead""","0.2884290438689705","0.42781772132648516","0","""off""","5","26.612000000000002"
"2","5","""schwarz_alternative""","false","0","5","false","0.03199834124104292","""showerhead""","0.8452623544035849","0.3258271901112948","0.03482793736803347","""off""","5","29.58"
"3","5","""schwarz_alternative""","false","0","5","false","0.007215260655087029","""showerhead""","0.7389373563874211","0.19559428808868262","0.10769693413833403","""off""","5","1039.212"
"3","15","""schwarz_alternative""","false","0","5","false","0.004","""showerhead""","0.7389373563874211","0.19559428808868262","0.10769693413833403","""off""","5","1029.312"
"3","20","""schwarz_alternative""","false","0","5","false","0.004","""showerhead""","0.7389373563874211","0.19559428808868262","0.23707854149293814","""off""","5","1028.412"
"3","25","""schwarz_alternative""","false","0","5","false","0.004","""showerhead""","0.7389373563874211","0.13361232423130934","0.23707854149293814","""off""","5","1027.912"
"3","110","""schwarz_alternative""","false","0","5","false","0.004","""showerhead""","0.3800951898808897","0.107722634990182","0.3995220880374394","""off""","5","1027.812"
"3","125","""schwarz_alternative""","false","0","5","false","0.004","""showerhead""","0.32659543094982","0","0.5618624036103578","""off""","5","1025.612"
"3","180","""schwarz_alternative""","false","0","5","false","0.004","""showerhead""","0.26718810987021757","0.01931484646683035","0.3517203949881128","""off""","5","1024.812"
"3","235","""schwarz_alternative""","false","0","5","false","0.004","""showerhead""","0.2351456897975674","0","0.3517203949881128","""off""","5","1024.712"
"3","255","""schwarz_alternative""","false","0","5","false","0.004","""showerhead""","0.2351456897975674","0","0.34381895721239275","""off""","5","1024.212"
"3","270","""schwarz_alternative""","false","0","5","false","0.004","""showerhead""","0.10865021370320568","0","0.34381895721239275","""off""","5","1017.84"
"3","275","""schwarz_alternative""","false","0","5","false","0.004","""showerhead""","0.10865021370320568","0","0.1182134172017468","""off""","5","1017.74"
"3","280","""schwarz_alternative""","false","0","5","false","0.004","""showerhead""","0.10865021370320568","0.02771298766611361","0.1182134172017468","""off""","5","1016.04"
"4","5","""schwarz_alternative""","false","0","5","false","0.029294151442888244","""showerhead""","0.47838142640636994","0.2628661407894979","0.763449037993314","""off""","5","29.58"
"5","5","""schwarz_alternative""","false","0","5","false","0.018923512909137137","""showerhead""","0.43077420469534833","0.31491662732799985","0.7589848705836582","""off""","5","29.58"
"6","5","""schwarz_alternative""","false","0","5","false","0.03140986321587985","""showerhead""","0.1705401599918075","0.9869209716914816","0.7267430654168628","""off""","5","29.58"
"7","5","""schwarz_alternative""","false","0","5","false","0.01972412766909503","""showerhead""","0.9007557869659437","0.8458922888537247","0.3292774699317438","""off""","5","29.58"
"8","5","""schwarz_alternative""","false","0","5","false","0.01692380432548375","""showerhead""","0.3408702362570024","0.40075277357445127","0.24496514937093483","""off""","5","29.58"
"9","5","""schwarz_alternative""","false","0","5","false","0.01514648130475007","""showerhead""","0.9889768519748224","0.9850065804870654","0.30902008583850027","""off""","5","29.58"
"10","5","""schwarz_alternative""","false","0","5","false","0.023412233080037825","""showerhead""","0.15447495790105226","0.08819531629895294","0.5603335240516362","""off""","5","1068.82"
"10","10","""schwarz_alternative""","false","0","5","false","0.019151507886608743","""showerhead""","0.15447495790105226","0.08819531629895294","0.5603335240516362","""off""","5","1066.72"
"10","15","""schwarz_alternative""","false","0","5","false","0.019151507886608743","""showerhead""","0.2978323892036644","0","0.5603335240516362","""off""","5","1063.12"
"10","50","""schwarz_alternative""","false","0","5","false","0.019151507886608743","""showerhead""","0.2978323892036644","0","0.34987648699043694","""off""","5","1063.02"
"10","60","""schwarz_alternative""","false","0","5","false","0.01909101834949876","""showerhead""","0.2978323892036644","0","0.4250886543682367","""off""","5","1062.92"
"10","75","""schwarz_alternative""","false","0","5","false","0.01553308442255362","""showerhead""","0.2978323892036644","0","0.4250886543682367","""off""","5","1058.42"
"10","80","""schwarz_alternative""","false","0","5","false","0.01553308442255362","""showerhead""","0.37646944389471626","0","0.4050182866333071","""off""","5","1053.72"
"10","100","""schwarz_alternative""","false","0","5","false","0.01553308442255362","""showerhead""","0.37646944389471626","0","0.22596853909376835","""off""","5","1053.42"
"10","105","""schwarz_alternative""","false","0","5","false","0.014492909145625878","""showerhead""","0.37646944389471626","0","0.22596853909376835","""off""","5","1051.02"
"10","130","""schwarz_alternative""","false","0","5","false","0.01288479626139316","""showerhead""","0.47223591830458134","0.0160465762103672","0.3157670110024045","""off""","5","1045.82"
"10","135","""schwarz_alternative""","false","0","5","false","0.01288479626139316","""showerhead""","0.5639378084996998","0.0160465762103672","0.3157670110024045","""off""","5","1042.22"
"10","175","""schwarz_alternative""","false","0","5","false","0.009022605707734154","""showerhead""","0.5639378084996998","0.0160465762103672","0.3157670110024045","""off""","5","1040.112"
"10","180","""schwarz_alternative""","false","0","5","false","0.009022605707734154","""showerhead""","0.5639378084996998","0.14269842190626938","0.3157670110024045","""off""","5","1039.912"
"10","185","""schwarz_alternative""","false","0","5","false","0.009022605707734154","""showerhead""","0.5639378084996998","0.14269842190626938","0.43541219949843435","""off""","5","1038.812"
"10","190","""schwarz_alternative""","false","0","5","false","0.009022605707734154","""showerhead""","0.462960888240326","0.2895809450741301","0.43541219949843435","""off""","5","29.58"
"11","5","""schwarz_alternative""","false","0","5","false","0.006161622283337744","""showerhead""","0.580433134460595","0.4279763483987633","0.5616721739055253","""off""","5","29.58"
"12","5","""schwarz_alternative""","false","0","5","false","0.01072289500961307","""showerhead""","0.046881769475065393","0.8157286832360641","0.2533821484197132","""off""","5","1022.62"
"12","15","""schwarz_alternative""","false","0","5","false","0.01072289500961307","""showerhead""","0.08269915203923645","0.7640910653605095","0.2533821484197132","""off""","5","1020.92"
"12","65","""schwarz_alternative""","false","0","5","false","0.00943419569023421","""showerhead""","0.08269915203923645","0.7555070335627252","0.06921065025717821","""off""","5","1019.22"
"12","70","""schwarz_alternative""","false","0","5","false","0.00943419569023421","""showerhead""","0.2198968600023519","0.7555070335627252","0.06921065025717821","""off""","5","29.58"
"13","5","""schwarz_alternative""","false","0","5","false","0.03181114651132762","""showerhead""","0.2572309220595763","0.018302038523235642","0.2678130559204748","""off""","5","1069.62"
"13","20","""schwarz_alternative""","false","0","5","false","0.03181114651132762","""showerhead""","0.3531164447420066","0.018302038523235642","0.1658926444138511","""off""","5","1069.52"
"13","55","""schwarz_alternative""","false","0","5","false","0.03228278670060699","""showerhead""","0.46959812948951496","0.09510719279572148","0.15098885046529525","""off""","5","1069.42"
"13","75","""schwarz_alternative""","false","0","5","false","0.025704500671956405","""showerhead""","0.46959812948951496","0","0.1780051680523907","""off""","5","1067.72"
"13","85","""schwarz_alternative""","false","0","5","false","0.025704500671956405","""showerhead""","0.46959812948951496","0.057896681518703","0.1780051680523907","""off""","5","1067.32"
"13","90","""schwarz_alternative""","false","0","5","false","0.025704500671956405","""showerhead""","0.4574077213567296","0.057896681518703","0.1780051680523907","""off""","5","1066.72"
"13","110","""schwarz_alternative""","false","0","5","false","0.025810044036611468","""showerhead""","0.4574077213567296","0.26813574175015453","0.1780051680523907","""off""","5","29.58"
"14","5","""schwarz_alternative""","false","0","5","false","0.027383641360712103","""showerhead""","0.560779691676192","0.3811124581180618","0.33162237290628627","""off""","5","29.58"
"15","5","""schwarz_alternative""","false","0","5","false","0.019449479176759918","""showerhead""","0.4433176869824931","0.3689928936014364","0.4698349549728086","""off""","5","29.58"
"16","5","""schwarz_alternative""","false","0","5","false","0.030539328710917517","""showerhead""","0.39939559598546004","0.42949669729286566","0.856134691786531","""off""","5","29.58"
"17","5","""schwarz_alternative""","false","0","5","false","0.012491558679818087","""showerhead""","0.8004511399436453","0.6650577883070307","0.2744165138791661","""off""","5","29.58"
"18","5","""schwarz_alternative""","false","0","5","false","0.025954149112453355","""showerhead""","0.3883624873005642","0.20277798079975407","0.8871629392111811","""off""","5","1067.82"
"18","10","""schwarz_alternative""","false","0","5","false","0.025954149112453355","""showerhead""","0.3883624873005642","0.3531003968276206","0.8871629392111811","""off""","5","29.58"
"19","5","""schwarz_alternative""","false","0","5","false","0.03563551330563204","""showerhead""","0.4131869873883105","0.39009504823479013","0.391103045201284","""off""","5","29.58"
"20","5","""schwarz_alternative""","false","0","5","false","0.03853172561668802","""showerhead""","0.6754509875487998","0.049694072583062354","0.4171994509119995","""off""","5","1070.32"
"20","10","""schwarz_alternative""","false","0","5","false","0.03853172561668802","""showerhead""","0.6967796390291756","0.049694072583062354","0.4171994509119995","""off""","5","1070.12"
"20","20","""schwarz_alternative""","false","0","5","false","0.038040398157413426","""showerhead""","0.6417490911141208","0.049694072583062354","0.4171994509119995","""off""","5","1070.02"
"20","25","""schwarz_alternative""","false","0","5","false","0.03599280425393984","""showerhead""","0.6417490911141208","0.049694072583062354","0.4171994509119995","""off""","5","1069.82"
"20","35","""schwarz_alternative""","false","0","5","false","0.03599280425393984","""showerhead""","0.6026298040441307","0","0.3011443158137677","""off""","5","1069.72"
"20","105","""schwarz_alternative""","false","0","5","false","0.03411538409265983","""showerhead""","1","0","0.30700614316655145","""off""","5","1066.82"
"20","120","""schwarz_alternative""","false","0","5","false","0.02777466782666529","""showerhead""","1","0","0.18142658091812366","""off""","5","1062.72"
"20","145","""schwarz_alternative""","false","0","5","false","0.024832408470852146","""showerhead""","1","0","0.16597785256989603","""off""","5","1060.02"
"20","150","""schwarz_alternative""","false","0","5","false","0.024832408470852146","""showerhead""","1","0.0015956846974372212","0.16597785256989603","""off""","5","1058.22"
"20","170","""schwarz_alternative""","false","0","5","false","0.024832408470852146","""showerhead""","1","0.02907031052215734","0.3155710254206012","""off""","5","1057.82"
"20","195","""schwarz_alternative""","false","0","5","false","0.023233982753611514","""showerhead""","1","0.02907031052215734","0.3155710254206012","""off""","5","1056.62"
"20","205","""schwarz_alternative""","false","0","5","false","0.023233982753611514","""showerhead""","1","0.02907031052215734","0.21789081698771995","""off""","5","1056.32"
"20","220","""schwarz_alternative""","false","0","5","false","0.023233982753611514","""showerhead""","1","0","0.44610938286747687","""off""","5","1056.02"
"20","230","""schwarz_alternative""","false","0","5","false","0.017760628414172402","""showerhead""","1","0","0.44610938286747687","""off""","5","1047.84"
"21","5","""schwarz_alternative""","false","0","5","false","0.01064155914172711","""showerhead""","0.4788348865309989","0.42145200304597685","0.8480036226317287","""off""","5","29.58"
"22","5","""schwarz_alternative""","false","0","5","false","0.008187160143993084","""showerhead""","0.9024195713822596","0.2618017218718457","0.1772937864183285","""off""","5","29.58"
"23","5","""schwarz_alternative""","false","0","5","false","0.01854875184811398","""showerhead""","0.7190623726950162","0.39676182205263844","0.6801590736518323","""off""","5","29.58"
"24","5","""schwarz_alternative""","false","0","5","false","0.013920400588036095","""showerhead""","0.8298359613620188","0.814497734001267","0.8188855308138994","""off""","5","29.58"
"25","5","""schwarz_alternative""","false","0","5","false","0.026047533435877582","""showerhead""","0.46409456579270536","0.7460934526645185","0.7080335445940632","""off""","5","29.58"
"26","5","""schwarz_alternative""","false","0","5","false","0.01991384112540449","""showerhead""","0.19871745015382614","0.6097139072900007","0.5603304143735051","""off""","5","29.58"
"27","5","""schwarz_alternative""","false","0","5","false","0.022565205354392985","""showerhead""","0.25204051138476813","0.3377353439509969","0.7765940508976196","""off""","5","29.58"
"28","5","""schwarz_alternative""","false","0","5","false","0.030728886369086984","""showerhead""","0.9405984466868315","0.5780572926393646","0.5986636877744441","""off""","5","29.58"
"29","5","""schwarz_alternative""","false","0","5","false","0.008582511576659325","""showerhead""","0.9349393764515836","0.478122307522615","0.47561721187177897","""off""","5","29.58"
"30","5","""schwarz_alternative""","false","0","5","false","0.031404474667614646","""showerhead""","0.379161087481957","0.1824859857054172","0.7431767595660306","""off""","5","1069.72"
"30","10","""schwarz_alternative""","false","0","5","false","0.031404474667614646","""showerhead""","0.379161087481957","0.26380836631559473","0.7431767595660306","""off""","5","29.58"
