"search-number","evaluation","technology-diffusion-method*","word-of-mouth?*","technology-adoption*","technology-awareness*","debug?*","deliberation_rate*","innovation*","leader_w_social*","main_w_social*","hed_w_social*","policy*","num-replicates","best-fitness-so-far"
"1","300","""schwarz_alternative""","false","0","5","false","0.013474662354727418","""showerhead""","0.2884290438689705","0.42781772132648516","0","""off""","5","26.612000000000002"
"2","300","""schwarz_alternative""","false","0","5","false","0.03199834124104292","""showerhead""","0.8452623544035849","0.3258271901112948","0.03482793736803347","""off""","5","29.58"
"3","300","""schwarz_alternative""","false","0","5","false","0.004","""showerhead""","0.10865021370320568","0.02771298766611361","0.1182134172017468","""off""","5","1016.04"
"4","300","""schwarz_alternative""","false","0","5","false","0.029294151442888244","""showerhead""","0.47838142640636994","0.2628661407894979","0.763449037993314","""off""","5","29.58"
"5","300","""schwarz_alternative""","false","0","5","false","0.018923512909137137","""showerhead""","0.43077420469534833","0.31491662732799985","0.7589848705836582","""off""","5","29.58"
"6","300","""schwarz_alternative""","false","0","5","false","0.03140986321587985","""showerhead""","0.1705401599918075","0.9869209716914816","0.7267430654168628","""off""","5","29.58"
"7","300","""schwarz_alternative""","false","0","5","false","0.01972412766909503","""showerhead""","0.9007557869659437","0.8458922888537247","0.3292774699317438","""off""","5","29.58"
"8","300","""schwarz_alternative""","false","0","5","false","0.01692380432548375","""showerhead""","0.3408702362570024","0.40075277357445127","0.24496514937093483","""off""","5","29.58"
"9","300","""schwarz_alternative""","false","0","5","false","0.01514648130475007","""showerhead""","0.9889768519748224","0.9850065804870654","0.30902008583850027","""off""","5","29.58"
"10","300","""schwarz_alternative""","false","0","5","false","0.009022605707734154","""showerhead""","0.462960888240326","0.2895809450741301","0.43541219949843435","""off""","5","29.58"
"11","300","""schwarz_alternative""","false","0","5","false","0.006161622283337744","""showerhead""","0.580433134460595","0.4279763483987633","0.5616721739055253","""off""","5","29.58"
"12","300","""schwarz_alternative""","false","0","5","false","0.00943419569023421","""showerhead""","0.2198968600023519","0.7555070335627252","0.06921065025717821","""off""","5","29.58"
"13","300","""schwarz_alternative""","false","0","5","false","0.025810044036611468","""showerhead""","0.4574077213567296","0.26813574175015453","0.1780051680523907","""off""","5","29.58"
"14","300","""schwarz_alternative""","false","0","5","false","0.027383641360712103","""showerhead""","0.560779691676192","0.3811124581180618","0.33162237290628627","""off""","5","29.58"
"15","300","""schwarz_alternative""","false","0","5","false","0.019449479176759918","""showerhead""","0.4433176869824931","0.3689928936014364","0.4698349549728086","""off""","5","29.58"
"16","300","""schwarz_alternative""","false","0","5","false","0.030539328710917517","""showerhead""","0.39939559598546004","0.42949669729286566","0.856134691786531","""off""","5","29.58"
"17","300","""schwarz_alternative""","false","0","5","false","0.012491558679818087","""showerhead""","0.8004511399436453","0.6650577883070307","0.2744165138791661","""off""","5","29.58"
"18","300","""schwarz_alternative""","false","0","5","false","0.025954149112453355","""showerhead""","0.3883624873005642","0.3531003968276206","0.8871629392111811","""off""","5","29.58"
"19","300","""schwarz_alternative""","false","0","5","false","0.03563551330563204","""showerhead""","0.4131869873883105","0.39009504823479013","0.391103045201284","""off""","5","29.58"
"20","300","""schwarz_alternative""","false","0","5","false","0.017760628414172402","""showerhead""","1","0","0.44610938286747687","""off""","5","1047.84"
"21","300","""schwarz_alternative""","false","0","5","false","0.01064155914172711","""showerhead""","0.4788348865309989","0.42145200304597685","0.8480036226317287","""off""","5","29.58"
"22","300","""schwarz_alternative""","false","0","5","false","0.008187160143993084","""showerhead""","0.9024195713822596","0.2618017218718457","0.1772937864183285","""off""","5","29.58"
"23","300","""schwarz_alternative""","false","0","5","false","0.01854875184811398","""showerhead""","0.7190623726950162","0.39676182205263844","0.6801590736518323","""off""","5","29.58"
"24","300","""schwarz_alternative""","false","0","5","false","0.013920400588036095","""showerhead""","0.8298359613620188","0.814497734001267","0.8188855308138994","""off""","5","29.58"
"25","300","""schwarz_alternative""","false","0","5","false","0.026047533435877582","""showerhead""","0.46409456579270536","0.7460934526645185","0.7080335445940632","""off""","5","29.58"
"26","300","""schwarz_alternative""","false","0","5","false","0.01991384112540449","""showerhead""","0.19871745015382614","0.6097139072900007","0.5603304143735051","""off""","5","29.58"
"27","300","""schwarz_alternative""","false","0","5","false","0.022565205354392985","""showerhead""","0.25204051138476813","0.3377353439509969","0.7765940508976196","""off""","5","29.58"
