"search-number","evaluation","technology-diffusion-method*","word-of-mouth?*","technology-adoption*","technology-awareness*","debug?*","deliberation_rate*","innovation*","leader_w_social*","main_w_social*","hed_w_social*","policy*","num-replicates","best-fitness-so-far"
"1","5","""schwarz_alternative""","true","0","5","false","0.02319598938463233","""showerhead""","0.7947450034384245","0.5950255244615676","0.25691935208597216","""off""","5","29.58"
"2","5","""schwarz_alternative""","true","0","5","false","0.03433528628815667","""showerhead""","0.2726899046950506","0.3290264367459559","0.49177037539817137","""off""","5","29.58"
"2","255","""schwarz_alternative""","true","0","5","false","0.03340158398831049","""showerhead""","0.06489512068228073","1","0.489154552804096","""off""","5","17.588"
"2","265","""schwarz_alternative""","true","0","5","false","0.03490777888763682","""showerhead""","0.06489512068228073","1","0.489154552804096","""off""","5","17.187999999999995"
"2","270","""schwarz_alternative""","true","0","5","false","0.03490777888763682","""showerhead""","0.10628964749163886","1","0.489154552804096","""off""","5","16.988000000000003"
"2","295","""schwarz_alternative""","true","0","5","false","0.031060238587410232","""showerhead""","0.10628964749163886","1","0.43879809265660746","""off""","5","15.788"
"3","5","""schwarz_alternative""","true","0","5","false","0.009805016596130162","""showerhead""","0.18322102287634334","0.5367451949387189","0.927021144832204","""off""","5","29.58"
"3","20","""schwarz_alternative""","true","0","5","false","0.009805016596130162","""showerhead""","0","0.5367451949387189","0.8679752678579127","""off""","5","23.279999999999998"
"3","25","""schwarz_alternative""","true","0","5","false","0.009805016596130162","""showerhead""","0.04458115239106646","0.5367451949387189","0.8679752678579127","""off""","5","22.58"
"3","65","""schwarz_alternative""","true","0","5","false","0.01762698508282999","""showerhead""","0.04458115239106646","0.5367451949387189","0.8679752678579127","""off""","5","10.580000000000002"
"3","80","""schwarz_alternative""","true","0","5","false","0.021832196616671816","""showerhead""","0.04458115239106646","0.5734496520245944","0.8679752678579127","""off""","5","10.120000000000001"
"3","110","""schwarz_alternative""","true","0","5","false","0.01751170215210688","""showerhead""","0.04458115239106646","0.6111773013905035","0.8679752678579127","""off""","5","9.408"
"3","130","""schwarz_alternative""","true","0","5","false","0.021387606620135696","""showerhead""","0.04458115239106646","0.6111773013905035","0.7767374088996857","""off""","5","8.707999999999998"
"3","145","""schwarz_alternative""","true","0","5","false","0.021387606620135696","""showerhead""","0.04458115239106646","0.5893410484284531","0.7767374088996857","""off""","5","8.18"
"3","190","""schwarz_alternative""","true","0","5","false","0.01955477276360771","""showerhead""","0.04458115239106646","0.5893410484284531","0.6640004532874741","""off""","5","8.108"
"4","5","""schwarz_alternative""","true","0","5","false","0.03922507398893155","""showerhead""","0.4373160497048486","0.18304328410377046","0.27787163027787","""off""","5","1066.82"
"4","10","""schwarz_alternative""","true","0","5","false","0.03783643014167994","""showerhead""","0.4373160497048486","0.18304328410377046","0.27787163027787","""off""","5","1066.72"
"4","15","""schwarz_alternative""","true","0","5","false","0.03783643014167994","""showerhead""","0.4497412097985677","0.18304328410377046","0.27787163027787","""off""","5","1065.62"
"4","45","""schwarz_alternative""","true","0","5","false","0.03511220303221979","""showerhead""","0.4497412097985677","0.1405698961277675","0.27787163027787","""off""","5","1065.22"
"4","50","""schwarz_alternative""","true","0","5","false","0.03511220303221979","""showerhead""","0.4497412097985677","0.1405698961277675","0.3552280766931859","""off""","5","1062.82"
"4","70","""schwarz_alternative""","true","0","5","false","0.030339953344664695","""showerhead""","0.4497412097985677","0.1405698961277675","0.11042348387159373","""off""","5","1054.62"
"4","95","""schwarz_alternative""","true","0","5","false","0.030339953344664695","""showerhead""","0.4497412097985677","0.27552175087650216","0.11042348387159373","""off""","5","29.58"
"5","5","""schwarz_alternative""","true","0","5","false","0.017214149316752452","""showerhead""","0.7977997232550077","0.13098842694798662","0.8209084764669435","""off""","5","28.612000000000002"
"5","15","""schwarz_alternative""","true","0","5","false","0.017214149316752452","""showerhead""","0.7856590440515084","0.17700746752836669","0.8209084764669435","""off""","5","27.111999999999995"
"5","25","""schwarz_alternative""","true","0","5","false","0.015616224370821417","""showerhead""","0.8828454013796546","0.17700746752836669","0.8209084764669435","""off""","5","24.912"
"5","40","""schwarz_alternative""","true","0","5","false","0.015616224370821417","""showerhead""","0.7472857557209309","0.17700746752836669","0.8209084764669435","""off""","5","22.012"
"5","100","""schwarz_alternative""","true","0","5","false","0.015071265874017614","""showerhead""","0.6555622679497961","0.1519804466587366","0.6733094112573415","""off""","5","21.312"
"5","180","""schwarz_alternative""","true","0","5","false","0.014303657067448978","""showerhead""","0.6555622679497961","0.07462605750125083","0.6733094112573415","""off""","5","20.912"
"5","185","""schwarz_alternative""","true","0","5","false","0.00935011331600699","""showerhead""","0.6555622679497961","0.07462605750125083","0.6733094112573415","""off""","5","19.464000000000002"
"5","200","""schwarz_alternative""","true","0","5","false","0.00935011331600699","""showerhead""","0.6555622679497961","0","0.5235102680210437","""off""","5","18.38"
"5","225","""schwarz_alternative""","true","0","5","false","0.010745678042712568","""showerhead""","0.5754547820510043","0","0.518444844349607","""off""","5","18.364000000000004"
"5","255","""schwarz_alternative""","true","0","5","false","0.01036027645319944","""showerhead""","0.5754547820510043","0","0.518444844349607","""off""","5","17.980000000000004"
"6","5","""schwarz_alternative""","true","0","5","false","0.020482330793150497","""showerhead""","0.3945586203056689","0.31407928117575823","0.34413764483631726","""off""","5","29.58"
"7","5","""schwarz_alternative""","true","0","5","false","0.028683470320907654","""showerhead""","0.4576079473219705","0.9221531482152804","0.49224180433525055","""off""","5","29.58"
"8","5","""schwarz_alternative""","true","0","5","false","0.029718304246880507","""showerhead""","0.4269955113316398","0.43350532904942374","0.042312964497818184","""off""","5","29.58"
"9","5","""schwarz_alternative""","true","0","5","false","0.019007732714586698","""showerhead""","0.7472195313388663","0.9664041925523383","0.23204303198057386","""off""","5","29.58"
