"search-number","evaluation","technology-diffusion-method*","word-of-mouth?*","technology-adoption*","technology-awareness*","debug?*","deliberation_rate*","innovation*","p_leader_social*","p_mainstream_social*","p_hedonistic_social*","policy*","num-replicates","best-fitness-so-far"
"1","5","""schwarz""","true","0","5","false","0.012768053327112115","""showerhead""","0.97389878635833","0.47463625305855717","0.8833393942336388","""off""","5","24.580000000000002"
"1","10","""schwarz""","true","0","5","false","0.012768053327112115","""showerhead""","0.9970140819904929","0.47463625305855717","0.8833393942336388","""off""","5","22.28"
"1","35","""schwarz""","true","0","5","false","0.012768053327112115","""showerhead""","0.8305909880676785","0.47463625305855717","0.8270418581605454","""off""","5","21.880000000000003"
"1","40","""schwarz""","true","0","5","false","0.012768053327112115","""showerhead""","0.8305909880676785","0.47463625305855717","0.8683695068573861","""off""","5","20.88"
"1","60","""schwarz""","true","0","5","false","0.012768053327112115","""showerhead""","0.8305909880676785","0.47463625305855717","0.9620706767917746","""off""","5","20.28"
"1","75","""schwarz""","true","0","5","false","0.012768053327112115","""showerhead""","0.8305909880676785","0.22221163728962418","0.9620706767917746","""off""","5","17.464000000000002"
"1","135","""schwarz""","true","0","5","false","0.013802361611591363","""showerhead""","0.8305909880676785","0.2503387691992179","0.9998922937259199","""off""","5","16.612000000000002"
"1","160","""schwarz""","true","0","5","false","0.012673314931676954","""showerhead""","0.7218263036156244","0.2503387691992179","0.9601070284628698","""off""","5","16.48"
"1","190","""schwarz""","true","0","5","false","0.012673314931676954","""showerhead""","0.6722737866852679","0.2503387691992179","0.9601070284628698","""off""","5","16.112000000000002"
"1","195","""schwarz""","true","0","5","false","0.012673314931676954","""showerhead""","0.7263313389801238","0.2503387691992179","0.9601070284628698","""off""","5","15.712"
"1","260","""schwarz""","true","0","5","false","0.012673314931676954","""showerhead""","0.7263313389801238","0.3034217627687258","1","""off""","5","15.564000000000002"
"1","265","""schwarz""","true","0","5","false","0.012673314931676954","""showerhead""","0.6293020344039657","0.30277591818730665","1","""off""","5","15.412"
"1","270","""schwarz""","true","0","5","false","0.012673314931676954","""showerhead""","0.6293020344039657","0.30277591818730665","0.9552565894003443","""off""","5","15.011999999999999"
"2","5","""schwarz""","true","0","5","false","0.014938877975520777","""showerhead""","0.7586983106415555","0.044417028985488494","0.6827316831161581","""off""","5","27.112000000000002"
"2","10","""schwarz""","true","0","5","false","0.014938877975520777","""showerhead""","0.7586983106415555","0.044417028985488494","0.783515526678655","""off""","5","25.812"
