"search-number","evaluation","technology-diffusion-method*","word-of-mouth?*","technology-adoption*","technology-awareness*","debug?*","deliberation_rate*","innovation*","p_leader_social*","p_mainstream_social*","p_hedonistic_social*","policy*","num-replicates","best-fitness-so-far"
"1","300","""schwarz""","true","0","5","false","0.012673314931676954","""showerhead""","0.6293020344039657","0.30277591818730665","0.9552565894003443","""off""","5","15.011999999999999"
"2","300","""schwarz""","true","0","5","false","0.012016025383811628","""showerhead""","0.32993187777005417","0.21592130504170431","1","""off""","5","13.612000000000002"
"3","300","""schwarz""","true","0","5","false","0.01274218407797854","""showerhead""","0.3961655965460267","0.5477536420505433","0.5377749700743434","""off""","5","12.312000000000001"
"4","300","""schwarz""","true","0","5","false","0.009926323545921243","""showerhead""","0.2710473897252105","0.2205085587502974","0.7852641534337361","""off""","5","12.164"
"5","300","""schwarz""","true","0","5","false","0.0100149016608706","""showerhead""","0.05906143499393573","0.13439234350011778","0.8283766938791222","""off""","5","13.112"
"6","300","""schwarz""","true","0","5","false","0.018133831369831023","""showerhead""","0.7529040888910545","0.4926242087470356","0.9489558780426373","""off""","5","14.78"
"7","300","""schwarz""","true","0","5","false","0.008373728641738834","""showerhead""","0.029720313303506017","0.18327948530707702","0.5270612066716928","""off""","5","11.112"
"8","300","""schwarz""","true","0","5","false","0.01362261525503105","""showerhead""","0.525150676081481","0.4157224652224931","0.41180124510830707","""off""","5","14.940000000000001"
"9","300","""schwarz""","true","0","5","false","0.03679380986848729","""showerhead""","0.8949076819510079","0.8108379080269652","0.7314571646911145","""off""","5","17.912"
"10","300","""schwarz""","true","0","5","false","0.014082364246337464","""showerhead""","0.6075005030675097","0.5327868171125666","0.8942574012972839","""off""","5","13.18"
"11","300","""schwarz""","true","0","5","false","0.010744642475189232","""showerhead""","0.4908766197944136","0.3816151691958382","0.4147830725929591","""off""","5","15.764000000000001"
"12","300","""schwarz""","true","0","5","false","0.01849023579033221","""showerhead""","0.7743651480261717","0.4798803629624924","0.8124289013744327","""off""","5","15.812"
"13","300","""schwarz""","true","0","5","false","0.009890475951204371","""showerhead""","0.6394113965022838","0.49213104615073344","0.14924158435048845","""off""","5","19.380000000000003"
"14","300","""schwarz""","true","0","5","false","0.01033488516825334","""showerhead""","0.3253174489391825","0.24072070174298363","0.35054128005844476","""off""","5","14.212"
"15","300","""schwarz""","true","0","5","false","0.012652372981326054","""showerhead""","0.1861022287463747","0.5301810457212077","0.9291946804945772","""off""","5","7.4399999999999995"
"16","300","""schwarz""","true","0","5","false","0.020334099553748576","""showerhead""","0.202722068830486","0.9520280717241386","0.5681235116292108","""off""","5","10.492"
"17","300","""schwarz""","true","0","5","false","0.016344963339494898","""showerhead""","0.2681385926914171","0.8230602554279232","0.003006886206545066","""off""","5","13.580000000000002"
"18","300","""schwarz""","true","0","5","false","0.011389396688722441","""showerhead""","0","0.6240361665297174","0.3687580713205785","""off""","5","9.164"
"19","300","""schwarz""","true","0","5","false","0.01650761061986889","""showerhead""","0.8702164217971777","0.3556116772573742","1","""off""","5","16.164"
"20","300","""schwarz""","true","0","5","false","0.010547753485698157","""showerhead""","0","0.4407754270480609","0.9309326622647182","""off""","5","7.440000000000003"
"21","300","""schwarz""","true","0","5","false","0.033312234050764084","""showerhead""","0.975149848240978","0.6173638560818187","0.9886048395930986","""off""","5","16.512"
"22","300","""schwarz""","true","0","5","false","0.021173007236859016","""showerhead""","0.5248820796435314","0.70694860053361","0.9438292047737035","""off""","5","10.364"
"23","300","""schwarz""","true","0","5","false","0.029340445034158072","""showerhead""","0.8001457551380642","0.810442154262101","0.5530845367395918","""off""","5","16.764"
"24","300","""schwarz""","true","0","5","false","0.022611668379363913","""showerhead""","0.6856623179069504","0.6007299513097268","0.9528249708581369","""off""","5","13.312"
